id,default_probability,recommended_plan,plan_success_probability
593996,0.7971416792056472,standart_yapilandirma,0.49786356
594003,0.9989915998378897,standart_yapilandirma,0.49786356
594004,0.9806867218605556,standart_yapilandirma,0.49786356
594006,0.7195056673409745,standart_yapilandirma,0.49786356
594007,0.993717541429327,standart_yapilandirma,0.49786356
594009,0.6302880212019444,standart_yapilandirma,0.49786356
594011,0.5070837201023741,standart_yapilandirma,0.49786356
594014,0.6495578774934221,standart_yapilandirma,0.49786356
594019,0.993221134368653,standart_yapilandirma,0.49786356
594020,0.5596865136151263,standart_yapilandirma,0.49786356
594021,0.8017110476779057,standart_yapilandirma,0.49786356
594023,0.9968972150197944,standart_yapilandirma,0.49786356
594027,0.621502501390734,standart_yapilandirma,0.49786356
594029,0.7510534694043662,standart_yapilandirma,0.49786356
594031,0.6719110724455701,standart_yapilandirma,0.49786356
594032,0.5403457324160947,standart_yapilandirma,0.49786356
594035,0.8440302102111872,standart_yapilandirma,0.49786356
594039,0.5283347793139959,standart_yapilandirma,0.49786356
594042,0.9664211899877156,standart_yapilandirma,0.49786356
594049,0.8652951150500159,standart_yapilandirma,0.49786356
594052,0.6982106584280419,standart_yapilandirma,0.49786356
594056,0.5020450686519107,standart_yapilandirma,0.49786356
594061,0.9964626179288744,standart_yapilandirma,0.49786356
594062,0.988606630838619,standart_yapilandirma,0.49786356
594067,0.9987726291420268,standart_yapilandirma,0.49786356
594068,0.7335306034720502,standart_yapilandirma,0.49786356
594076,0.9536875227947744,standart_yapilandirma,0.49786356
594081,0.9199527503559648,standart_yapilandirma,0.49786356
594084,0.8466889795097654,standart_yapilandirma,0.49786356
594086,0.9958911563234054,standart_yapilandirma,0.49786356
594088,0.9411392568976008,standart_yapilandirma,0.49786356
594092,0.6280065147182654,standart_yapilandirma,0.49786356
594094,0.9036617040707268,standart_yapilandirma,0.49786356
594096,0.9994487664763924,standart_yapilandirma,0.49786356
594102,0.6591105945995033,standart_yapilandirma,0.49786356
594111,0.7176212027287807,standart_yapilandirma,0.49786356
594115,0.989854817667855,standart_yapilandirma,0.49786356
594117,0.9986767370915098,standart_yapilandirma,0.49786356
594118,0.9852919297649554,standart_yapilandirma,0.49786356
594125,0.7691566951339235,standart_yapilandirma,0.49786356
594126,0.9838348375818552,standart_yapilandirma,0.49786356
594127,0.58348504672855,standart_yapilandirma,0.49786356
594128,0.992989196902894,standart_yapilandirma,0.49786356
594131,0.8680824389071311,standart_yapilandirma,0.49786356
594135,0.9966148881768158,standart_yapilandirma,0.49786356
594144,0.7013497434426963,standart_yapilandirma,0.49786356
594155,0.9917575134762802,standart_yapilandirma,0.49786356
594156,0.5481839082722709,standart_yapilandirma,0.49786356
594157,0.5967906760150601,standart_yapilandirma,0.49786356
594164,0.7617094799232225,standart_yapilandirma,0.49786356
594165,0.9993610882251904,standart_yapilandirma,0.49786356
594172,0.9994096925473186,standart_yapilandirma,0.49786356
594173,0.9971876738705604,standart_yapilandirma,0.49786356
594175,0.9619959108885976,standart_yapilandirma,0.49786356
594183,0.998547643950556,standart_yapilandirma,0.49786356
594187,0.9995399283924986,standart_yapilandirma,0.49786356
594190,0.840646533257541,standart_yapilandirma,0.49786356
594194,0.5120863917142073,standart_yapilandirma,0.49786356
594197,0.7217686749275108,standart_yapilandirma,0.49786356
594202,0.9961780585037154,standart_yapilandirma,0.49786356
594207,0.6823259005247697,standart_yapilandirma,0.49786356
594208,0.9962760195304312,standart_yapilandirma,0.49786356
594213,0.9895354901352778,standart_yapilandirma,0.49786356
594218,0.5913991253757429,standart_yapilandirma,0.49786356
594222,0.804395749401819,standart_yapilandirma,0.49786356
594229,0.6825547202682747,standart_yapilandirma,0.49786356
594234,0.951258737939238,standart_yapilandirma,0.49786356
594235,0.588246126719753,standart_yapilandirma,0.49786356
594237,0.5430856804341406,standart_yapilandirma,0.49786356
594241,0.9977350282578764,standart_yapilandirma,0.49786356
594243,0.5971455339733778,standart_yapilandirma,0.49786356
594245,0.995660096340406,standart_yapilandirma,0.49786356
594246,0.8754127782506644,standart_yapilandirma,0.49786356
594250,0.9951092659645496,standart_yapilandirma,0.49786356
594253,0.9978482704359846,standart_yapilandirma,0.49786356
594258,0.5162776500195114,standart_yapilandirma,0.49786356
594260,0.9133229937032784,standart_yapilandirma,0.49786356
594262,0.5153237316630956,standart_yapilandirma,0.49786356
594269,0.98760086006273,standart_yapilandirma,0.49786356
594273,0.9659431713176714,standart_yapilandirma,0.49786356
594274,0.9970264191908744,standart_yapilandirma,0.49786356
594281,0.668707540169162,standart_yapilandirma,0.49786356
594288,0.9985406443644714,standart_yapilandirma,0.49786356
594290,0.9979441770891307,standart_yapilandirma,0.49786356
594291,0.6721807467862413,standart_yapilandirma,0.49786356
594293,0.9995552945482392,standart_yapilandirma,0.49786356
594299,0.7881357476071296,standart_yapilandirma,0.49786356
594313,0.6081390826590393,standart_yapilandirma,0.49786356
594316,0.6762055052958965,standart_yapilandirma,0.49786356
594318,0.9946503337041006,standart_yapilandirma,0.49786356
594326,0.7693843810235055,standart_yapilandirma,0.49786356
594328,0.9894113392149212,standart_yapilandirma,0.49786356
594334,0.9991397522136618,standart_yapilandirma,0.49786356
594341,0.6963785651558081,standart_yapilandirma,0.49786356
594342,0.873359670806503,standart_yapilandirma,0.49786356
594350,0.6582733508627628,standart_yapilandirma,0.49786356
594353,0.740649390866847,standart_yapilandirma,0.49786356
594354,0.995802248069082,standart_yapilandirma,0.49786356
594358,0.8003628160542133,standart_yapilandirma,0.49786356
594360,0.9985962373472084,standart_yapilandirma,0.49786356
594361,0.7477435272697818,standart_yapilandirma,0.49786356
594362,0.9972750169229644,standart_yapilandirma,0.49786356
594370,0.8071606345738701,standart_yapilandirma,0.49786356
594373,0.5490525995182058,standart_yapilandirma,0.49786356
594375,0.9956399180346645,standart_yapilandirma,0.49786356
594383,0.8620391253294557,standart_yapilandirma,0.49786356
594386,0.999314951524766,standart_yapilandirma,0.49786356
594395,0.998193354430034,standart_yapilandirma,0.49786356
594402,0.9991740023261076,standart_yapilandirma,0.49786356
594404,0.9972413915330932,standart_yapilandirma,0.49786356
594405,0.5604126087286474,standart_yapilandirma,0.49786356
594407,0.5935925189768991,standart_yapilandirma,0.49786356
594408,0.5628034331722782,standart_yapilandirma,0.49786356
594410,0.8104951352054096,standart_yapilandirma,0.49786356
594414,0.9251800900657334,standart_yapilandirma,0.49786356
594416,0.7174972001321015,standart_yapilandirma,0.49786356
594417,0.7370843391836763,standart_yapilandirma,0.49786356
594419,0.998098102345687,standart_yapilandirma,0.49786356
594422,0.9528747979540222,standart_yapilandirma,0.49786356
594424,0.7862457651733754,standart_yapilandirma,0.49786356
594429,0.7245232172679712,standart_yapilandirma,0.49786356
594438,0.8013155362259089,standart_yapilandirma,0.49786356
594442,0.998316389902496,standart_yapilandirma,0.49786356
594443,0.5214587725532305,standart_yapilandirma,0.49786356
594448,0.6330019172721228,standart_yapilandirma,0.49786356
594449,0.5298482030908989,standart_yapilandirma,0.49786356
594455,0.61339710179051,standart_yapilandirma,0.49786356
594458,0.5291791001149656,standart_yapilandirma,0.49786356
594460,0.9970243465217624,standart_yapilandirma,0.49786356
594470,0.7968189317519234,standart_yapilandirma,0.49786356
594472,0.5638541740671749,standart_yapilandirma,0.49786356
594475,0.6523642010016334,standart_yapilandirma,0.49786356
594478,0.9781912807035558,standart_yapilandirma,0.49786356
594480,0.7929763111905477,standart_yapilandirma,0.49786356
594486,0.5941969096679294,standart_yapilandirma,0.49786356
594489,0.5003729946611368,standart_yapilandirma,0.49786356
594492,0.8118772275800523,standart_yapilandirma,0.49786356
594498,0.5500479205386518,standart_yapilandirma,0.49786356
594505,0.9988460335898488,standart_yapilandirma,0.49786356
594506,0.6810593816367404,standart_yapilandirma,0.49786356
594510,0.780948121144047,standart_yapilandirma,0.49786356
594512,0.7332089498935568,standart_yapilandirma,0.49786356
594516,0.8436946999759922,standart_yapilandirma,0.49786356
594520,0.7087289457049004,standart_yapilandirma,0.49786356
594522,0.6726793727802693,standart_yapilandirma,0.49786356
594527,0.9960973246243384,standart_yapilandirma,0.49786356
594528,0.9108026625945966,standart_yapilandirma,0.49786356
594543,0.9757063342050568,standart_yapilandirma,0.49786356
594548,0.7469815849049373,standart_yapilandirma,0.49786356
594550,0.9376332402092364,standart_yapilandirma,0.49786356
594570,0.9954937083468514,standart_yapilandirma,0.49786356
594573,0.6168336998654644,standart_yapilandirma,0.49786356
594576,0.7123055682784217,standart_yapilandirma,0.49786356
594578,0.7811196188244485,standart_yapilandirma,0.49786356
594580,0.9701552660395516,standart_yapilandirma,0.49786356
594585,0.6425675589143833,standart_yapilandirma,0.49786356
594591,0.7096731642540188,standart_yapilandirma,0.49786356
594593,0.6007749109007468,standart_yapilandirma,0.49786356
594594,0.9954477483846867,standart_yapilandirma,0.49786356
594596,0.7700631148586337,standart_yapilandirma,0.49786356
594598,0.7389114907707313,standart_yapilandirma,0.49786356
594601,0.9234854401948134,standart_yapilandirma,0.49786356
594615,0.5029105489249734,standart_yapilandirma,0.49786356
594623,0.8795593743059836,standart_yapilandirma,0.49786356
594629,0.99928663894508,standart_yapilandirma,0.49786356
594633,0.6175742684294994,standart_yapilandirma,0.49786356
594634,0.7664929974994562,standart_yapilandirma,0.49786356
594635,0.9721382640576984,standart_yapilandirma,0.49786356
594645,0.7158535270392119,standart_yapilandirma,0.49786356
594651,0.7267976890384634,standart_yapilandirma,0.49786356
594652,0.6939757541980297,standart_yapilandirma,0.49786356
594653,0.6675288264059179,standart_yapilandirma,0.49786356
594654,0.6783545957587469,standart_yapilandirma,0.49786356
594655,0.9961782797670722,standart_yapilandirma,0.49786356
594657,0.6829920400299976,standart_yapilandirma,0.49786356
594665,0.9933220330386048,standart_yapilandirma,0.49786356
594666,0.5252999397884363,standart_yapilandirma,0.49786356
594668,0.7446420261190893,standart_yapilandirma,0.49786356
594673,0.9925507132692531,standart_yapilandirma,0.49786356
594674,0.663438509007851,standart_yapilandirma,0.49786356
594675,0.568116624848243,standart_yapilandirma,0.49786356
594676,0.9957884783949988,standart_yapilandirma,0.49786356
594679,0.9963060227374428,standart_yapilandirma,0.49786356
594685,0.9907241874141716,standart_yapilandirma,0.49786356
594693,0.8430238719003056,standart_yapilandirma,0.49786356
594699,0.6678159616080053,standart_yapilandirma,0.49786356
594700,0.7675940371788473,standart_yapilandirma,0.49786356
594704,0.632841632967819,standart_yapilandirma,0.49786356
594706,0.9915614987594464,standart_yapilandirma,0.49786356
594707,0.9670902869328486,standart_yapilandirma,0.49786356
594709,0.9874085406675056,standart_yapilandirma,0.49786356
594712,0.6641616003625552,standart_yapilandirma,0.49786356
594713,0.842244925382448,standart_yapilandirma,0.49786356
594717,0.9921934704457274,standart_yapilandirma,0.49786356
594720,0.6643556922379664,standart_yapilandirma,0.49786356
594724,0.998489564175678,standart_yapilandirma,0.49786356
594727,0.6149965454208205,standart_yapilandirma,0.49786356
594728,0.9880161672746824,standart_yapilandirma,0.49786356
594731,0.5073575277059871,standart_yapilandirma,0.49786356
594733,0.5243918092782243,standart_yapilandirma,0.49786356
594734,0.9967041442146404,standart_yapilandirma,0.49786356
594738,0.930620969810849,standart_yapilandirma,0.49786356
594740,0.996075925509822,standart_yapilandirma,0.49786356
594742,0.5592078917347397,standart_yapilandirma,0.49786356
594750,0.9970998956129136,standart_yapilandirma,0.49786356
594752,0.9978583576852886,standart_yapilandirma,0.49786356
594754,0.9783378396206196,standart_yapilandirma,0.49786356
594755,0.7288015676437563,standart_yapilandirma,0.49786356
594756,0.7566288996904342,standart_yapilandirma,0.49786356
594759,0.5035104318321213,standart_yapilandirma,0.49786356
594764,0.6173735324219694,standart_yapilandirma,0.49786356
594774,0.769608729953549,standart_yapilandirma,0.49786356
594778,0.9983090071651594,standart_yapilandirma,0.49786356
594782,0.724907982795729,standart_yapilandirma,0.49786356
594785,0.9589831302922164,standart_yapilandirma,0.49786356
594786,0.9956563242737246,standart_yapilandirma,0.49786356
594787,0.99835404391679,standart_yapilandirma,0.49786356
594793,0.9518807199717612,standart_yapilandirma,0.49786356
594795,0.6462660557751503,standart_yapilandirma,0.49786356
594799,0.6698162095828969,standart_yapilandirma,0.49786356
594803,0.9975704582774604,standart_yapilandirma,0.49786356
594805,0.9882129045220204,standart_yapilandirma,0.49786356
594807,0.9981177243569214,standart_yapilandirma,0.49786356
594810,0.766436808594682,standart_yapilandirma,0.49786356
594811,0.5376183153447548,standart_yapilandirma,0.49786356
594813,0.997668819292332,standart_yapilandirma,0.49786356
594819,0.838560940873179,standart_yapilandirma,0.49786356
594820,0.7426558498799354,standart_yapilandirma,0.49786356
594826,0.9994845311449176,standart_yapilandirma,0.49786356
594827,0.7926996801755584,standart_yapilandirma,0.49786356
594830,0.6424715387545217,standart_yapilandirma,0.49786356
594832,0.9626614737986836,standart_yapilandirma,0.49786356
594837,0.5842621365478791,standart_yapilandirma,0.49786356
594843,0.9417405532594628,standart_yapilandirma,0.49786356
594844,0.6432660098112228,standart_yapilandirma,0.49786356
594845,0.5588537465540069,standart_yapilandirma,0.49786356
594861,0.7291576728124927,standart_yapilandirma,0.49786356
594863,0.5887938557411845,standart_yapilandirma,0.49786356
594867,0.7736328105805143,standart_yapilandirma,0.49786356
594869,0.9154740162551211,standart_yapilandirma,0.49786356
594870,0.7640515247000323,standart_yapilandirma,0.49786356
594875,0.8927086627389902,standart_yapilandirma,0.49786356
594877,0.6141667299544815,standart_yapilandirma,0.49786356
594878,0.7844321070600975,standart_yapilandirma,0.49786356
594880,0.5735868503325589,standart_yapilandirma,0.49786356
594886,0.9986491634929908,standart_yapilandirma,0.49786356
594898,0.9970888874180426,standart_yapilandirma,0.49786356
594899,0.7105115930855268,standart_yapilandirma,0.49786356
594901,0.6221226312546858,standart_yapilandirma,0.49786356
594908,0.9993506253155272,standart_yapilandirma,0.49786356
594909,0.9992125729633424,standart_yapilandirma,0.49786356
594910,0.6501158345339382,standart_yapilandirma,0.49786356
594917,0.7112397783200459,standart_yapilandirma,0.49786356
594921,0.5520525256743256,standart_yapilandirma,0.49786356
594922,0.8919127989709267,standart_yapilandirma,0.49786356
594928,0.9902322780967212,standart_yapilandirma,0.49786356
594931,0.9965445688781638,standart_yapilandirma,0.49786356
594936,0.9945234758167204,standart_yapilandirma,0.49786356
594940,0.9980835473927078,standart_yapilandirma,0.49786356
594946,0.8007054430681622,standart_yapilandirma,0.49786356
594947,0.8386129099638975,standart_yapilandirma,0.49786356
594950,0.9888567199807344,standart_yapilandirma,0.49786356
594951,0.9983914927641736,standart_yapilandirma,0.49786356
594967,0.9957172403912836,standart_yapilandirma,0.49786356
